||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
PATH
calling 
C:\Users\cg4102\Documents\New LogLinearSDDP\LogLinearSDDP.jl\Examples\Hydrothermal
C:\Users\cg4102\Documents\New LogLinearSDDP\LogLinearSDDP.jl\Examples\Hydrothermal\run_model_markov.jl
DATETIME
2025-04-30T21:20:22.153
RUN DESCRIPTION
LogLinearSDDP.AlgoParams(SDDP.AbstractStoppingRule[SDDP.TimeLimit(7200.0)], LogLinearSDDP.NoSimulation(), false, 2, 1, "C:/Users/cg4102/Documents/julia_logs/Cut-sharing Re-Run - NoCS (2h)/Run_MC-SDDP_lattice_55555/MC-SDDP.log", false, false, false, 55555, "MC-SDDP: 100 nodes, lattice", :fitted_model)
-------------------------------------------------------------------
         SDDP.jl (c) Oscar Dowson and contributors, 2017-23
-------------------------------------------------------------------
problem
  nodes           : 11901
  state variables : 4
  scenarios       : 6.68857e+229
  existing cuts   : false
options
  solver          : serial mode
  risk measure    : SDDP.Expectation()
  sampling scheme : SDDP.InSampleMonteCarlo
subproblem structure
  VariableRef                                  : [142, 142]
  JuMP.AffExpr in MOI.EqualTo{Float64}         : [13, 13]
  JuMP.VariableRef in MOI.GreaterThan{Float64} : [138, 138]
  JuMP.VariableRef in MOI.LessThan{Float64}    : [129, 130]
-------------------------------------------------------------------
 iteration    simulation      bound        time (s)     solves  pid
       164   2.621692e+08  1.977967e+08  3.460800e+03   1712571   1
       165   2.259749e+08  1.979499e+08  3.494855e+03   1723149   1
       166   3.048566e+08  1.985860e+08  3.528561e+03   1733687   1
       167   1.923673e+08  1.988188e+08  3.563866e+03   1744289   1
       168   3.792380e+08  1.988772e+08  3.597265e+03   1754612   1
       169   2.124711e+08  1.991645e+08  3.632361e+03   1765223   1
       170   2.268175e+08  1.993839e+08  3.667893e+03   1775588   1
       171   5.211886e+08  1.995030e+08  3.701576e+03   1785835   1
       172   3.715013e+08  1.997067e+08  3.736367e+03   1796424   1
       173   2.548483e+08  1.997127e+08  3.769842e+03   1806711   1
       174   2.884691e+08  2.000608e+08  3.805106e+03   1817118   1
       175   4.578384e+08  2.005476e+08  3.840661e+03   1827628   1
       176   4.737358e+08  2.005619e+08  3.875169e+03   1837697   1
       177   5.305014e+08  2.005649e+08  3.910015e+03   1847797   1
       178   2.078366e+08  2.006463e+08  3.945702e+03   1858060   1
       179   5.646381e+08  2.007736e+08  3.982804e+03   1868666   1
       180   6.459126e+08  2.007800e+08  4.019926e+03   1879241   1
       181   2.404538e+08  2.008505e+08  4.058274e+03   1889600   1
       182   1.941110e+08  2.012915e+08  4.095023e+03   1899919   1
       183   5.249166e+08  2.014668e+08  4.131684e+03   1910118   1
       184   1.619062e+08  2.022863e+08  4.169166e+03   1920619   1
       185   1.894123e+08  2.026924e+08  4.207513e+03   1931263   1
       186   2.863758e+08  2.027476e+08  4.245006e+03   1941758   1
       187   1.867899e+08  2.032164e+08  4.281637e+03   1952075   1
       188   3.583187e+08  2.033493e+08  4.318445e+03   1962292   1
       189   1.863804e+08  2.036345e+08  4.355381e+03   1972529   1
       190   3.157445e+08  2.036580e+08  4.393374e+03   1982942   1
       191   4.295074e+08  2.037702e+08  4.432654e+03   1993642   1
       192   2.658089e+08  2.057831e+08  4.470559e+03   2004014   1
       193   2.460602e+08  2.062469e+08  4.509377e+03   2014587   1
       194   5.094726e+08  2.066477e+08  4.547853e+03   2024997   1
       195   3.549457e+08  2.066747e+08  4.586370e+03   2035388   1
       196   5.872214e+08  2.075606e+08  4.624341e+03   2045668   1
       197   3.001032e+08  2.079081e+08  4.663084e+03   2056041   1
       198   2.496877e+08  2.080346e+08  4.700435e+03   2066168   1
       199   2.129493e+08  2.081388e+08  4.742097e+03   2076880   1
       200   1.923901e+08  2.081519e+08  4.780159e+03   2087150   1
       201   3.241594e+08  2.081792e+08  4.820303e+03   2097689   1
       202   6.378954e+08  2.083212e+08  4.898974e+03   2108230   1
       203   2.395391e+08  2.083398e+08  4.934297e+03   2118894   1
       204   3.246892e+08  2.084066e+08  4.967317e+03   2129083   1
       205   2.217171e+08  2.084076e+08  5.001914e+03   2139728   1
       206   2.105485e+08  2.087554e+08  5.035436e+03   2150095   1
       207   2.518989e+08  2.092348e+08  5.069175e+03   2160478   1
       208   2.876892e+08  2.092602e+08  5.103842e+03   2170966   1
       209   3.379540e+08  2.097894e+08  5.137643e+03   2181395   1
       210   2.899964e+08  2.099298e+08  5.172182e+03   2192022   1
       211   5.966286e+08  2.100155e+08  5.206413e+03   2202532   1
       212   7.507225e+08  2.105635e+08  5.239849e+03   2212815   1
       213   2.776151e+08  2.115927e+08  5.274409e+03   2223460   1
       214   1.573663e+08  2.116349e+08  5.308982e+03   2234044   1
       215   2.494752e+08  2.119534e+08  5.343002e+03   2244346   1
       216   2.695353e+08  2.120646e+08  5.377975e+03   2254820   1
       217   2.371884e+08  2.122222e+08  5.413440e+03   2265396   1
       218   5.884158e+08  2.122392e+08  5.448139e+03   2275745   1
       219   2.174195e+08  2.123105e+08  5.485284e+03   2286016   1
       220   5.404674e+08  2.127365e+08  5.519147e+03   2296232   1
       221   3.424726e+08  2.128718e+08  5.554773e+03   2306884   1
       222   3.037806e+08  2.128963e+08  5.588470e+03   2317137   1
       223   3.254211e+08  2.129464e+08  5.622919e+03   2327603   1
       224   5.403300e+08  2.132716e+08  5.657181e+03   2337849   1
       225   1.422697e+08  2.133262e+08  5.692307e+03   2348247   1
       226   2.350984e+08  2.133597e+08  5.727328e+03   2358678   1
       227   3.644028e+08  2.136230e+08  5.762253e+03   2368969   1
       228   3.653813e+08  2.139811e+08  5.797289e+03   2379172   1
       229   3.280150e+08  2.139980e+08  5.834042e+03   2389937   1
       230   2.871589e+08  2.140826e+08  5.870159e+03   2400462   1
       231   4.779235e+08  2.141032e+08  5.903917e+03   2410363   1
       232   3.578253e+08  2.146735e+08  5.939756e+03   2420759   1
       233   4.137918e+08  2.148336e+08  5.976458e+03   2431209   1
       234   4.497119e+08  2.151488e+08  6.016190e+03   2441586   1
       235   5.135253e+08  2.153921e+08  6.053218e+03   2452237   1
       236   1.755932e+08  2.155929e+08  6.091222e+03   2463063   1
       237   5.694173e+08  2.156255e+08  6.126704e+03   2473196   1
       238   2.510057e+08  2.160520e+08  6.164084e+03   2483794   1
