||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
PATH
calling 
C:\Users\cg4102\Documents\New LogLinearSDDP\LogLinearSDDP.jl\Examples\Hydrothermal
C:\Users\cg4102\Documents\New LogLinearSDDP\LogLinearSDDP.jl\Examples\Hydrothermal\run_model_markov.jl
DATETIME
2025-04-28T00:24:43.631
RUN DESCRIPTION
LogLinearSDDP.AlgoParams(SDDP.AbstractStoppingRule[SDDP.TimeLimit(7200.0)], LogLinearSDDP.NoSimulation(), false, 2, 1, "C:/Users/cg4102/Documents/julia_logs/Cut-sharing Re-Run (2h)/Run_MC-SDDP_lattice_11111/MC-SDDP.log", false, false, false, 11111, "MC-SDDP: 100 nodes, lattice", :fitted_model)
-------------------------------------------------------------------
         SDDP.jl (c) Oscar Dowson and contributors, 2017-23
-------------------------------------------------------------------
problem
  nodes           : 11901
  state variables : 4
  scenarios       : 6.68857e+229
  existing cuts   : false
options
  solver          : serial mode
  risk measure    : SDDP.Expectation()
  sampling scheme : SDDP.InSampleMonteCarlo
subproblem structure
  VariableRef                                  : [142, 142]
  JuMP.AffExpr in MOI.EqualTo{Float64}         : [13, 13]
  JuMP.VariableRef in MOI.GreaterThan{Float64} : [138, 138]
  JuMP.VariableRef in MOI.LessThan{Float64}    : [129, 130]
-------------------------------------------------------------------
 iteration    simulation      bound        time (s)     solves  pid
       170   6.461607e+08  1.970794e+08  6.335320e+02   1768395   1
       171   3.298939e+08  1.971112e+08  6.381160e+02   1778794   1
       172   2.119249e+08  1.972488e+08  6.428840e+02   1789454   1
       173   5.221901e+08  1.976708e+08  6.474390e+02   1799714   1
       174   3.238419e+08  1.976978e+08  6.520690e+02   1810197   1
       175   4.762167e+08  1.977064e+08  6.569130e+02   1820379   1
       176   2.812671e+08  1.980150e+08  6.615080e+02   1830553   1
       177   2.195570e+08  1.982913e+08  6.661800e+02   1841117   1
       178   3.006733e+08  1.984968e+08  6.708930e+02   1851605   1
       179   4.522368e+08  1.985054e+08  6.755790e+02   1861932   1
       180   4.021421e+08  1.986800e+08  6.801840e+02   1872165   1
       181   2.601877e+08  1.989678e+08  6.850190e+02   1882833   1
       182   2.420028e+08  2.012839e+08  6.897870e+02   1893306   1
       183   2.230346e+08  2.018302e+08  6.945900e+02   1904015   1
       184   2.454533e+08  2.021829e+08  6.992880e+02   1914539   1
       185   1.747016e+08  2.026610e+08  7.040960e+02   1924931   1
       186   3.293215e+08  2.027741e+08  7.088460e+02   1935204   1
       187   2.690197e+08  2.033031e+08  7.136400e+02   1945488   1
       188   2.301883e+08  2.048746e+08  7.184680e+02   1955903   1
       189   3.180670e+08  2.058816e+08  7.233320e+02   1966625   1
       190   2.846929e+08  2.060002e+08  7.281390e+02   1977122   1
       191   2.039463e+08  2.066315e+08  7.330580e+02   1988032   1
