||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
PATH
calling 
C:\Users\cg4102\Documents\New LogLinearSDDP\LogLinearSDDP.jl\Examples\Hydrothermal
C:\Users\cg4102\Documents\New LogLinearSDDP\LogLinearSDDP.jl\Examples\Hydrothermal\run_model_markov.jl
DATETIME
2025-05-01T10:17:16.872
RUN DESCRIPTION
LogLinearSDDP.AlgoParams(SDDP.AbstractStoppingRule[SDDP.TimeLimit(7200.0)], LogLinearSDDP.NoSimulation(), false, 2, 1, "C:/Users/cg4102/Documents/julia_logs/Cut-sharing Re-Run - NoCS (2h)/Run_MC-SDDP_custom_model_444444/MC-SDDP.log", false, false, false, 444444, "MC-SDDP: 100 nodes, custom_model", :fitted_model)
-------------------------------------------------------------------
         SDDP.jl (c) Oscar Dowson and contributors, 2017-23
-------------------------------------------------------------------
problem
  nodes           : 11901
  state variables : 4
  scenarios       : 6.68857e+229
  existing cuts   : false
options
  solver          : serial mode
  risk measure    : SDDP.Expectation()
  sampling scheme : SDDP.Historical{String, Dict{String, Float64}}
subproblem structure
  VariableRef                                  : [142, 142]
  JuMP.AffExpr in MOI.EqualTo{Float64}         : [13, 13]
  JuMP.VariableRef in MOI.GreaterThan{Float64} : [138, 138]
  JuMP.VariableRef in MOI.LessThan{Float64}    : [129, 130]
-------------------------------------------------------------------
 iteration    simulation      bound        time (s)     solves  pid
       247   4.770389e+08  2.050112e+08  6.633861e+03   2567790   1
       248   3.765217e+08  2.050758e+08  6.671957e+03   2577646   1
       249   1.945548e+08  2.051711e+08  6.712048e+03   2587936   1
       250   8.312187e+08  2.055936e+08  6.750993e+03   2597974   1
       251   2.162050e+08  2.059542e+08  6.791421e+03   2608362   1
       252   4.483051e+08  2.060555e+08  6.830042e+03   2618455   1
       253   3.153010e+08  2.061153e+08  6.874945e+03   2629085   1
       254   3.522968e+08  2.062268e+08  6.918826e+03   2638864   1
       255   3.838489e+08  2.063587e+08  6.966708e+03   2648958   1
       256   2.560394e+08  2.065757e+08  7.018306e+03   2659719   1
       257   2.383052e+08  2.067585e+08  7.068740e+03   2670204   1
       258   3.824139e+08  2.068089e+08  7.119885e+03   2680359   1
       259   3.889509e+08  2.074460e+08  7.165954e+03   2690458   1
       260   2.949060e+08  2.078021e+08  7.212941e+03   2701138   1
-------------------------------------------------------------------
status         : time_limit
total time (s) : 7.212941e+03
total solves   : 2701138
best bound     :  2.078021e+08
simulation ci  :  4.179654e+08 ± 2.620987e+07
numeric issues : 0
-------------------------------------------------------------------

 ────────────────────────────────────────────────────────────────────────────────
                                        Time                    Allocations      
                               ───────────────────────   ────────────────────────
       Tot / % measured:            2.00h /  99.9%            163GiB /  99.3%    

 Section               ncalls     time    %tot     avg     alloc    %tot      avg
 ────────────────────────────────────────────────────────────────────────────────
 backward_pass            260    1.98h   98.9%   27.4s    160GiB   98.7%   630MiB
   solve_subproblem     2.67M    1.95h   97.4%  2.63ms    136GiB   84.0%  53.5KiB
     get_dual_solution  2.67M    15.1s    0.2%  5.67μs   3.82GiB    2.4%  1.50KiB
   prepare_backward...    520    509ms    0.0%   979μs   83.0MiB    0.0%   163KiB
 forward_pass             260    78.9s    1.1%   304ms   1.82GiB    1.1%  7.19MiB
   solve_subproblem     31.2k    78.1s    1.1%  2.50ms   1.60GiB    1.0%  53.7KiB
     get_dual_solution  31.2k   37.5ms    0.0%  1.20μs   16.7MiB    0.0%     560B
   sample_scenario        260   1.34ms    0.0%  5.16μs   40.6KiB    0.0%     160B
 calculate_bound          260    1.43s    0.0%  5.48ms    222MiB    0.1%   876KiB
   get_dual_solution      260    386μs    0.0%  1.48μs    142KiB    0.0%     560B
 ────────────────────────────────────────────────────────────────────────────────


||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
SIMULATION RESULTS
LogLinearSDDP.NoSimulation()
markov
Lower bound: 2.078020936176257e8
Statistical upper bound (confidence interval): 3.3661707284679854e8 ± 6.943230567909402e6
Pessimistic upper bound: 3.4356030341470796e8

||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
SIMULATION RESULTS
LogLinearSDDP.NoSimulation()
markov
Lower bound: 2.078020936176257e8
Statistical upper bound (confidence interval): 2.1686234854779074e8 ± 5.535249277593998e6
Pessimistic upper bound: 2.2239759782538474e8

||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
SIMULATION RESULTS
LogLinearSDDP.NoSimulation()
custom_model
Lower bound: 2.078020936176257e8
Statistical upper bound (confidence interval): 4.131804743034924e8 ± 8.651921002252173e6
Pessimistic upper bound: 4.218323953057446e8

||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
SIMULATION RESULTS
LogLinearSDDP.NoSimulation()
custom_model
Lower bound: 2.078020936176257e8
Statistical upper bound (confidence interval): 2.6054256229624614e8 ± 6.690650904001549e6
Pessimistic upper bound: 2.672332132002477e8

||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
SIMULATION RESULTS
LogLinearSDDP.NoSimulation()
fitted_model
Lower bound: 2.078020936176257e8
Statistical upper bound (confidence interval): 2.9751527413476e8 ± 5.392780519539133e6
Pessimistic upper bound: 3.0290805465429914e8

||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
SIMULATION RESULTS
LogLinearSDDP.NoSimulation()
fitted_model
Lower bound: 2.078020936176257e8
Statistical upper bound (confidence interval): 1.958006789713756e8 ± 4.214511143525065e6
Pessimistic upper bound: 2.0001519011490068e8

||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
SIMULATION RESULTS
LogLinearSDDP.NoSimulation()
shapiro_model
Lower bound: 2.078020936176257e8
Statistical upper bound (confidence interval): 3.077900730532627e8 ± 6.109355330776222e6
Pessimistic upper bound: 3.138994283840389e8

